tax_query,superkingdom,kingdom,phylum,class,order,family,genus,species
Abagrotis alternata,Eukaryota_2759,Metazoa_33208,Arthropoda_6656,Insecta_50557,Lepidoptera_7088,Noctuidae_7100,Abagrotis_95180,Abagrotis alternata_95181
Abagrotis brunneipennis,Eukaryota_2759,Metazoa_33208,Arthropoda_6656,Insecta_50557,Lepidoptera_7088,Noctuidae_7100,Abagrotis_95180,Abagrotis brunneipennis_1488697
Abbottana clemataria,NA,NA,NA,NA,NA,NA,NA,NA
Abelmoschus esculentus,Eukaryota_2759,Viridiplantae_33090,Streptophyta_35493,Magnoliopsida_3398,Malvales_41938,Malvaceae_3629,Abelmoschus_183218,Abelmoschus esculentus_455045
Abies balsamea,Eukaryota_2759,Viridiplantae_33090,Streptophyta_35493,Pinopsida_58019,Pinales_1446380,Pinaceae_3318,Abies_3319,Abies balsamea_90345
Abies Balsamea,NA,NA,NA,NA,NA,NA,NA,NA
